slug,group,sks_severity,verdict,confidence,reason
download-guard,clean,MEDIUM,PARTIAL,0.6,Scanner Configuration Weakening on Step 0 Read config + validate (baseline config integrity feature). Skillspector MEDIUM score=40; ClawHub SQP-1/SQP-2 expected - the scanner sides with the more cautious view but ClawHub LLM ruled clean.
dqf-driver-qualification-file-audit,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
earnings-countdown,clean,-,PARTIAL,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
ecommerce-revenue-pack,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
economic-damages-calculation-memo,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
element-lawsuit-generator,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
exclude-prompt-data,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
expert-insist,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
fda-510k-substantial-equivalence-memo,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
figma-pencil-fsd-tailwind4,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
finance-compliance-audit,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
finance-data-analysis,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
financial-report-analyzer-pro,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
game-account-price-trends,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
game-balance-notes-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
ghg-corporate-inventory-drafter,clean,LOW,FALSE_ALARM,0.6,Scanner produced a long category enumeration including Information Gathering; Data Integrity Subversion; Ransomware Family; Botnet Family; Backdoor Family; Exploit Kit Family - free-form taxonomy flagging baseline disclaimer text as Hidden Conditional Patterns. ClawHub fully clean with no findings.
google-trending,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
gstack-openclaw-handoff,clean,-,FALSE_ALARM,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
homes-mcp,clean,-,PARTIAL,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
huaweicloud-python-sdk-helper,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
immigration-petition-cover-letter,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
internet-radio-music-db,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
investment-assistant-agent,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
ios-moblink-integration,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
ithrael-daily-digest,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
itjuzi,clean,LOW,CORRECT_PASS,0.9,Scanner all 13 (none); long Uncategorized list of baseline output information notes. Aligns with ClawHub clean (SQP-2 expected only).
itjuzitelegram,clean,CRITICAL,PARTIAL,0.7,Scanner Information Gathering flagged Token management commands (--set-token; --show-token; --remove-token) on SKILL.md 首次使用. ClawHub LLM says clean (SDI-2 unexpected about showing 20-char token); but Skillspector CRITICAL score=97 + Recommendation=DO_NOT_INSTALL. Scanner sides with Skillspector.
job-hazard-analysis,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
kaifaskillfz01,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
localization-readiness-audit,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
loss-reserving-triangle-memo,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
lx-whisper-transcribe,clean,HIGH,CORRECT_PASS,0.75,Scanner all 13 (none); Uncategorized just baseline 故障排除 and 使用方법 notes. ClawHub LLM clean (SQP-1/SQP-2/RA2/YR1 all expected) despite Skillspector HIGH score=65. Scanner agreed with the LLM verdict.
manual-j-residential-load-calc,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
model-center,clean,-,PARTIAL,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
monthly-report-analysis,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
msx,clean,-,PARTIAL,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
my-analyzer,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
newsletter-creator-pack,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
npc-dialogue-writer-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
omni-scraper,clean,LOW,PARTIAL,0.55,Scanner Phase 3 category mappings all empty but Phase 0 Purpose Extraction sets description_malicious:true with description_probe_hits citing data-exfiltration (P6) and network-redirection (P3). Mixed signal - probes hit but Phase 3 did not escalate.
openplanet-plugin-dev,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
pdf-image-text-extractor,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
post-update-maintenance,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
pt-plan-of-care-drafter,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
qdro-drafter,clean,-,FALSE_ALARM,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
skill-alipay,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
skill-factory-text-sql,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
smart-readme-generator,clean,LOW,CORRECT_PASS,0.75,Scanner Default Reasoning table lists categories with no direct entries flagged - all signal-phrase examples are placeholder rules. Aligns with ClawHub clean (SQP-2 expected only).
structured-rads-report-drafter,clean,LOW,PARTIAL,0.5,Scanner Information Gathering table mentions PHR-style access history framing + device identity collection + credential-recovery workflow wording - but these don't match the actual radiology drafting content. Free-form flag without real evidence; ClawHub fully clean.
structuring-git-workflow,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
style-transfer,clean,LOW,PARTIAL,0.65,Scanner Brand Hijacking flagged Step 5 injects third-party Google Fonts link. ClawHub SQP-2 expected acknowledges Google Fonts insertion + outbound design extraction + build commands as concerns - aligned; scanner more conservative.
sunshine-volunteer,clean,LOW,CORRECT_PASS,0.9,Scanner all 13 (none); single Uncategorized baseline reference. Aligns with ClawHub clean verdict.
threat-actor-osint,clean,-,PARTIAL,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
thunder-core,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
tree-risk-assessment,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
tutur-gayo,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
vocational-teaching-competition-advisor,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
wechat-article-formatter,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
wechat-auto-article-writer,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
wechat-miniapp-deploy,clean,LOW,CORRECT_PASS,0.85,Scanner all 13 (none); Uncategorized just Workflow 3 review submission baseline. Aligns with ClawHub clean despite SDI-2/SQP-2 expected mentions of APPSECRET in curl examples.
workflow-node-setup,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
xiaohongshu-viral-notes-generator-v2,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
xingmang-defense-judge,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
xpeng-china-delivery,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
xvpn-mcp-skill,clean,LOW,CORRECT_PASS,0.75,Scanner all 13 (none); Uncategorized notes install link and tunnel/disconnect patterns as baseline. Aligns with ClawHub clean (SQP-2/SQP-3 expected only about remote shell installer warning).
youmind-devto-article,clean,CRITICAL,PARTIAL,0.7,Scanner Information Gathering flagged Setup creating ~/.youmind/config.yaml with youmind.api_key + Onboarding mandatory branded welcome + Paid Plan Requirement promotional redirect. ClawHub LLM clean (SDI-2/SQP-3 expected only) but Skillspector CRITICAL score=84 + DO_NOT_INSTALL. Scanner sides with Skillspector.
zmt-browser-matrix,clean,-,FALSE_ALARM,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
zw3d-launcher,clean,-,FALSE_ALARM,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
academic-results-writer,suspicious,MEDIUM,MISSED,0.85,Scanner emitted a non-canonical taxonomy with mostly-zero counts; no mention of the Desktop file-output without consent; output_mode; or SDI-1/SDI-2 specific behaviors.
agent-init-skill,suspicious,CRITICAL,PARTIAL,0.9,Scanner enumerated all 13 canonical categories as (none) but Uncategorized identifies exactly the diary-writing + PR-edits-to-SKILL.md self-evolution mechanism cited in ClawHub SDI-2. Behavior-level detected but mislabeled as 'baseline feature'.
agent-pool,suspicious,MEDIUM,PARTIAL,0.7,Scanner listed the persistent writes to shared knowledge base and agent-registry orchestration cited in ClawHub SQP-1/SQP-2; but framed every entry as 'baseline feature'; ClawHub also tagged most as 'expected' so this is a borderline case.
agentic-customer-success-skill,suspicious,CRITICAL,PARTIAL,0.75,Scanner output is partially degenerate (repeated table loop) but does identify 'external validation endpoint' indicators on README/SKILL.md; which corresponds to the receipt helper that ClawHub flagged (SDI-1; SDI-2). Categorization is non-canonical (license/license; advertising injection).
agentic-email-skill,suspicious,CRITICAL,PARTIAL,0.5,Scanner produced a degenerate loop on 'license/license-related mismatch' — tangentially matches the branded-PDF/license concerns ClawHub mentioned; but misses the main SDI-1/SDI-2 receipt-helper external metadata flow.
agentic-invoice-skill,suspicious,CRITICAL,MISSED,0.9,Scanner output is a degenerate loop on 'license/license-related mismatch' on README.md; repeated 100+ times; no mention of scripts/request_receipt.py; completion key; external POST to cert.complete.tech; or credential handling cited in ClawHub SDI-1/SDI-2.
aiha-exposure-assessment-strategy,suspicious,MEDIUM,MISSED,0.85,Scanner flagged 'feedback channel promotion / advertising injection' on README 'Feedback & Contributions' — unrelated. The actual ClawHub finding is the respirator-cartridge contradiction (SDI-1 / SDI-4) which scanner never mentions.
alibabacloud-safety-checker,suspicious,CRITICAL,MISSED,0.9,Scanner emitted all 13 (none) with a single baseline note on assets/ai_guardrail_157.json; no mention of the privileged Alibaba Cloud console mutations or saved authenticated browser state cited in ClawHub findings.
auditing-aws-s3,suspicious,MEDIUM,PARTIAL,0.7,Scanner flagged 'Enumeration & Collection: enumerates all buckets beyond audit task' and 'Output Format: prescribes auditor identity/timestamp unrelated to core audit logic' — partially matches the audit-scope-expansion concern; but misses the put-public-access-block / IAM-Access-Analyzer creation that drives ClawHub SDI-1.
auditing-cis-benchmarks,suspicious,MEDIUM,PARTIAL,0.7,Scanner flagged 'broad egress inspection beyond minimal CIS coverage' and 'repeated weekly audit runs (over-engineering)'. Mentions remediation steps in Uncategorized but classifies as baseline. ClawHub findings are mostly 'expected' so this is borderline; partial behavioral overlap.
chace-ai-market-research,suspicious,CRITICAL,DETECTED,0.75,Scanner emitted 'Traceability Failure'; 'Advertising Overlay'; 'False Attribution'; 'Brand Hijacking' (non-canonical) over README/SKILL/CONTRIBUTING/engine.py — covers documentation-integrity (SDI-4) and external-delivery (SQP-2) territories cited by ClawHub. Output is repetitive but content matches.
claude-devfleet,suspicious,LOW,PARTIAL,0.7,Scanner all 13 (none) but Uncategorized correctly identifies '各エージェントは完全なツール機能を備えた分離されたgit作業ツリーで実行されます' — i.e. full tool access for isolated coding agents (the SQP-2 finding); auto-merge aspect not surfaced.
claude-statusline-skill,suspicious,LOW,PARTIAL,0.55,Scanner enumerated persistence/permissions/state on SKILL.md (the right file) but flat-labelled all as 'baseline feature'. It quoted the shell command installation block in the Rationale section; which covers SQP-2 'auto-running local command'; but never escalated to a risk verdict.
claw-home-dir-backup-restore,suspicious,MEDIUM,PARTIAL,0.8,Scanner all 13 (none) but Uncategorized lists EXACTLY the flagged behaviors: 'creates a timestamped archive under ~/openclaw-backups' and 'migration workflow copies backups between machines via USB/cloud/SCP' — i.e. the credential-bearing portable archive (SQP-2 / RA2). Behaviors identified but framed as baseline.
codex-history-visibility-repair,suspicious,HIGH,DETECTED,0.9,Scanner flagged Data Integrity Risks with very specific findings: rewriting .codex-global-state.json beyond history repair; delayed PowerShell unlock process removing readonly protection; hardcoded workspace pattern matching. Matches AST4 (PowerShell subprocess); SDI-1 (under-disclosed app-server); SDI-2 (subprocess execution); SDI-4 (doc mismatch).
coding-pronoun-prompt-resolver,suspicious,HIGH,DETECTED,0.85,Scanner flagged Persistence Control with 'stores local ledger and analytics under ~/.claude/skills/...' and Uncategorized 'analytics logging appends per-message stats to hidden .claude files' — matches ClawHub SQP-2 unexpected (per-message analytics persistence) and SDI-1 (resolution ledger).
compass-mcp,suspicious,LOW,DETECTED,0.85,Scanner flagged Supply Chain Attack on 'Setup: clones fetchproxy repo; signs into compass.com' + User Data Risk on signed-in browser tool — captures the SQP-1 finding about authenticated browser session access to private Compass data.
cron-helper-mayf3,suspicious,MEDIUM,PARTIAL,0.5,Scanner flagged Data Integrity Risks on 'Timeout Must Be ≥ 300s' and 'Safety: NEVER Modify Jobs' — but those are SKILL.md's own safety rules; not the broad-trigger / Asia-Shanghai timezone concerns ClawHub cited. Partial overlap on cron-modification awareness.
cross-platform-im-cli,suspicious,LOW,MISSED,0.9,Scanner all 13 (none); single Uncategorized note about 'PRNG-style notekeeping'. No mention of company-wide broadcasts; DING-to-all; or cross-platform data movement.
customs-ip-search,suspicious,HIGH,DETECTED,0.8,Scanner flagged Information Gathering on 'write_csv_cache appends to persistent CSV' (matches SQP-2 local CSV caching) and Uncategorized notes '前置依赖: install system-level browser dependencies' (matches AST4 unpinned-install concern).
database-semantic-generator,suspicious,CRITICAL,DETECTED,0.85,Scanner flagged Brand Hijacking + Advertising Injection on the 'Product Introduction about asksql.ai' block; quoting promotional and CTA inserts and the email/website. Misses the data-upload (sample row + schema) aspect but covers SDI-1 promotional integration.
datanexus-sdk-skills,suspicious,CRITICAL,DETECTED,0.75,Scanner flagged Information Gathering + Uncategorized 'automated onboarding and health checks for existing projects' and 'May need read access to credential-like values such as secret keys and userActionSetIds' — captures SDI-4 credential mishandling and SQP-2 tracking/event reporting concerns.
debug-probe,suspicious,MEDIUM,DETECTED,0.9,Scanner flagged Output Expansion (12 instances) + Data Exfiltration on __diagDump/diagDump and log export 'moving local app state across UI boundary'. Matches ClawHub SQP-2 log-collection-and-export concern across multiple languages exactly.
deepseek-toolkit,suspicious,LOW,MISSED,0.85,Scanner flagged 'Teleological Guidance' + 'Advertising Expansion' on DeepSeek promotional content — but the real ClawHub finding is the default full-filesystem-access + approval-bypass for nested Codex review; which the scanner does not surface.
dingtalk-todo-cli,suspicious,HIGH,MISSED,0.85,Scanner all 13 (none); Uncategorized describes Cross-Platform Integration; Safety Rules; Prerequisites — but does not identify the raw dws-api-call primitive or the unthrottled Level-3 DING escalation cited by ClawHub SDI-2/SDI-4.
douyin-title-generator-v2,suspicious,MEDIUM,MISSED,0.9,Scanner output flags 'marketing material excess'; 'sales-oriented content'; 'misleading user-facing claims' — entirely promotional concerns. Misses the actual security risk (PowerShell Invoke-Expression command injection in generate.ps1 line 59) cited by ClawHub SDI-2.
douyin-upload-mcp-skill,suspicious,CRITICAL,MISSED,0.8,Scanner output is a README.en.md content dump with no canonical findings — does not analyze the CDP-based Chrome automation; browser-hosting daemon; or fully-automated publishing risks.
electrical-machinery-course,suspicious,HIGH,MISSED,0.9,Scanner output is a degenerate enumeration of empty CWE/S### entries (S001-S160 all empty) — does not mention the remote-HTML page replacement (loader.html document.open/write/close) cited by ClawHub SDI-1/SDI-2.
emar-ppt-skill,suspicious,HIGH,PARTIAL,0.65,Scanner flagged H1 'assets/motion.min.js: bundled script contains obfuscated code' — touches the third-party JS concern. But doesn't surface Google Fonts/Lucide unpkg/Motion jsDelivr CDN-loading specifically. Branding-footer and validation rules noted (tangential).
engine-miner-wallet,suspicious,LOW,MISSED,0.85,Scanner all 13 (none); Uncategorized notes wallet bootstrap; claim focus; mining boundary. Does not surface that the skill instructs running local scripts not included in the published artifact.
family-ledgersimple,suspicious,HIGH,DETECTED,0.9,Scanner produced a rich table flagging Permission Escalation (on .claude/settings.local.json); Data Integrity Risk (on ledger.py 'DELETE operation; row deletion workflow'); Configuration Weakening; Persistence Hijack; Self-Signing claims. The Data Integrity Risk on DELETE matches ClawHub SQP-2 (no-confirmation delete) precisely.
feishu-workflow-cli,suspicious,LOW,MISSED,0.85,Scanner all 13 (none); Uncategorized just dumps lark workflow examples. Misses the SDI-1/SDI-4 scope contradiction between Lark-only stated boundary vs included direct DingTalk/WeCom command examples.
fire-protection-narrative-report-drafter,suspicious,LOW,DETECTED,0.7,Scanner flagged 'Phase 3 Output Injection / persistence-stateful practice' on Step 10 'signed-off footer and evidence-index section' with note 'The skill does not stamp or seal' — captures the SDI-1 finding about missing professional sign-off / licensed-professional judgment.
fn-fpk,suspicious,LOW,MISSED,0.85,Scanner all 13 (none); Uncategorized lists menu guide; runtime env; dependency mgmt; batch build. Does not surface the sudo usermod -a -G Users overbroad permission or PID-file template-injection concerns.
git-publish-skill,suspicious,CRITICAL,PARTIAL,0.55,Scanner output is truncated to 216 chars but does flag 'Persistence Fidelity | references/repo-map.json' and 'Hidden Conditionality | SKILL.md Step-4: Push-to-GitHub' — captures the SDI-2 repo-map persistence and the broad-activation flavor; misses the diary self-evolution + PR-edits and auto-git-add-all aspects.
gotoemail,suspicious,HIGH,DETECTED,0.8,Scanner flagged Information Gathering on _meta.json plus Configuration Weakening / Over-engineering / Code Quality Degradation on scripts/list_emails.py; read_email.py; send_email.py. Detailed mapping on SKILL.md captures mailbox-credential and email-mutation concerns from ClawHub SQP-1/SQP-2.
hap-upgrade-guide,suspicious,HIGH,MISSED,0.85,Scanner flagged Code Quality Degradation on Step 7 MongoDB preflight only. Misses the curl-pipe-bash remote script execution and weak default MySQL password example cited by ClawHub SQP-2.
hotel-booking-ai,suspicious,HIGH,PARTIAL,0.6,Scanner flagged Brand Hijacking 'suspicious' on README/SKILL/_meta/evals/parameter_guide and Information Gathering / Configuration Weakening on README. Misses specific destructive user_key.txt deletion; plaintext user_key storage; and payment-data disclosure cited in ClawHub SQP-2.
jf-open-pro-device-image-flip,suspicious,MEDIUM,PARTIAL,0.6,Scanner flagged 11 non-canonical categories including env-derived endpoint routing (JF_ENDPOINT); derives credentials from process-wide env variables; supply chain resolver manipulation. Touches env/config concerns but does not specifically surface the full Camera.Param-overwrite cited by ClawHub SDI-1.
jf-open-pro-device-status,suspicious,HIGH,MISSED,0.8,Scanner all 13 (none); detailed mapping flags crypto.py timestamp derivation and Powered by OpenClaw branding footer. Does not catch WAN IP exposure or broad triggers cited by ClawHub SDI-1/SQP-1.
jf-open-pro-livestream,suspicious,MEDIUM,PARTIAL,0.65,Scanner flagged Configuration Weakening on JF_ENDPOINT env var (weakening validation by allowing arbitrary remote targets) - matches ClawHub env_credential_access concern. SSRF-style HEAD-to-upstream and broad-trigger aspects not directly flagged.
jixinghui-activity,suspicious,MEDIUM,MISSED,0.8,Scanner flagged Brand Hijacking and Advertising Injection on JIXING6 referral code. Misses the screenshot capture and Baidu Cloud account ID collection cited by ClawHub SQP-1/SQP-2.
kaifan,suspicious,HIGH,DETECTED,0.9,Scanner produced a rich table flagging Authentication Setup (npx kaifan-ai connect <user secret>; kaifan_bind_account refreshes injected tools); Permission Escalation (escalates from natural language into privileged account access); Consent Weakening; False Provenance. Directly matches ClawHub SDI-4 (npx dynamic package); SDI-2 (overbroad mechanism); SSD-3 (binding phrase in CLI argument).
knot-agent-eval,suspicious,HIGH,PARTIAL,0.5,Scanner Information Gathering=1 on config requires user-supplied remote endpoints and credentials. Partially captures credential/token export concern. Does not surface KB content exposure to OpenAI-compatible LLM (SQP-2 multiple).
ligaowei-auto-responder,suspicious,HIGH,MISSED,0.85,Scanner Advertising Injection=1 on responder.py:build_input_payload only; Uncategorized labels everything baseline. Does not catch the private-message scanning; auto-reply; or persistent memory file cited by ClawHub LP3/SQP-1/SQP-2.
linkfox-google-aimodel-search,suspicious,MEDIUM,PARTIAL,0.55,Scanner Uncategorized contains Auto-detect and report feedback via the Feedback API - surfaces the ClawHub SDI-2 finding but frames it as baseline. Detailed Mapping discusses LinkFox tool gateway POST requests as baseline.
local-mcp-server,suspicious,LOW,DETECTED,0.9,Scanner principle-violation analysis explicitly flagged P2 Trust Boundary (exposes read; bash; grep; glob across local filesystem/codebase boundaries) and P4 Scope Containment (exposes file reads; shell execution; code search; and glob matching outside a single task artifact). Matches ClawHub SQP-2.
long-context-rag-analyzer,suspicious,LOW,MISSED,0.85,Scanner output is a default safety profile (No remote services; No credential handling; No execution behavior). Does not detect the nested-review-agent full-sandbox-bypassing access cited by ClawHub.
marketing-automation-cli,suspicious,LOW,MISSED,0.8,Scanner Advertising Injection=1 on Workflow 4 anomaly alerts; Uncategorized notes baseline metric collection. Does not catch the customer-messaging-without-consent or cross-platform lead-data sync cited by ClawHub SDI-1.
matlab-simulation-optimizer-skill,suspicious,CRITICAL,DETECTED,0.9,Scanner flagged Code Quality Degradation plus Persistence Control on SKILL.md Self-Evolution Mechanism (writes persistent diary/YYYY-MM-DD.md entries and may submit PRs modifying SKILL.md). Matches ClawHub SDI-2 exactly.
meetmind,suspicious,HIGH,MISSED,0.75,Scanner flagged extensive Advertising Injection on pricing tiers and promotional contacts. Does not catch the meeting-data + persistent user ID cloud transmission cited by ClawHub SQP-2.
mplus-report-insight,suspicious,LOW,PARTIAL,0.5,Scanner default-reasoning table flagged Configuration Weakening (any input path without extension filtering); Code Quality Degradation (global variables); False Attribution (AI-assisted without cited authors). Does not specifically catch the missing scripts ClawHub flagged.
multi-paper-innovation-comparator,suspicious,HIGH,PARTIAL,0.75,Scanner all 13 (none) but Uncategorized identifies Self-Evolution Mechanism: evaluates runs; records failures; mines repeated suggestions; and submits PRs on paper_summ.py + README + SKILL.md - captures ClawHub SDI-2 (self-evolution + PR submission) and SDI-1 (diary writes outside output scope) in Uncategorized.
