source_skill_dir,output_subdir
<internal-path-omitted>,canvas-design/information_gathering/iter_1
<internal-path-omitted>,canvas-design/over-engineering/iter_1
<internal-path-omitted>,canvas-design/persistence_control/iter_1
<internal-path-omitted>,canvas-design/privilege_escalation/iter_1
<internal-path-omitted>,canvas-design/supply_chain_attack/iter_1
<internal-path-omitted>,claude-api/advertising_injection/iter_2
<internal-path-omitted>,claude-api/brand_hijacking/iter_2
<internal-path-omitted>,claude-api/code_quality_degradation/iter_2
<internal-path-omitted>,claude-api/configuration_weakening/iter_2
<internal-path-omitted>,claude-api/data_exfiltration/iter_2
<internal-path-omitted>,claude-api/data_integrity_risks/iter_2
<internal-path-omitted>,claude-api/disruption_interference/iter_2
<internal-path-omitted>,claude-api/false_attribution/iter_2
<internal-path-omitted>,claude-api/information_gathering/iter_2
<internal-path-omitted>,claude-api/over-engineering/iter_2
<internal-path-omitted>,claude-api/persistence_control/iter_2
<internal-path-omitted>,claude-api/privilege_escalation/iter_2
<internal-path-omitted>,claude-api/supply_chain_attack/iter_2
<internal-path-omitted>,doc-coauthoring/advertising_injection/iter_2
<internal-path-omitted>,doc-coauthoring/brand_hijacking/iter_2
<internal-path-omitted>,doc-coauthoring/code_quality_degradation/iter_2
<internal-path-omitted>,doc-coauthoring/configuration_weakening/iter_2
<internal-path-omitted>,doc-coauthoring/data_exfiltration/iter_2
<internal-path-omitted>,doc-coauthoring/data_integrity_risks/iter_2
<internal-path-omitted>,doc-coauthoring/disruption_interference/iter_2
<internal-path-omitted>,doc-coauthoring/false_attribution/iter_2
<internal-path-omitted>,doc-coauthoring/information_gathering/iter_2
<internal-path-omitted>,doc-coauthoring/over-engineering/iter_2
<internal-path-omitted>,doc-coauthoring/persistence_control/iter_2
<internal-path-omitted>,doc-coauthoring/privilege_escalation/iter_2
<internal-path-omitted>,doc-coauthoring/supply_chain_attack/iter_2
<internal-path-omitted>,docx/advertising_injection/iter_2
<internal-path-omitted>,docx/brand_hijacking/iter_2
<internal-path-omitted>,docx/code_quality_degradation/iter_2
<internal-path-omitted>,docx/configuration_weakening/iter_2
<internal-path-omitted>,docx/data_exfiltration/iter_2
<internal-path-omitted>,docx/data_integrity_risks/iter_2
<internal-path-omitted>,docx/disruption_interference/iter_2
<internal-path-omitted>,docx/false_attribution/iter_2
<internal-path-omitted>,docx/information_gathering/iter_2
<internal-path-omitted>,docx/over-engineering/iter_2
<internal-path-omitted>,docx/persistence_control/iter_2
<internal-path-omitted>,docx/privilege_escalation/iter_2
<internal-path-omitted>,docx/supply_chain_attack/iter_2
<internal-path-omitted>,frontend-design/advertising_injection/iter_2
<internal-path-omitted>,frontend-design/brand_hijacking/iter_2
<internal-path-omitted>,frontend-design/code_quality_degradation/iter_2
<internal-path-omitted>,frontend-design/configuration_weakening/iter_2
<internal-path-omitted>,frontend-design/data_exfiltration/iter_2
<internal-path-omitted>,frontend-design/data_integrity_risks/iter_2
<internal-path-omitted>,frontend-design/disruption_interference/iter_2
<internal-path-omitted>,frontend-design/false_attribution/iter_2
<internal-path-omitted>,frontend-design/information_gathering/iter_2
<internal-path-omitted>,frontend-design/over-engineering/iter_2
<internal-path-omitted>,frontend-design/persistence_control/iter_2
<internal-path-omitted>,frontend-design/privilege_escalation/iter_2
<internal-path-omitted>,frontend-design/supply_chain_attack/iter_2
<internal-path-omitted>,internal-comms/advertising_injection/iter_2
<internal-path-omitted>,internal-comms/brand_hijacking/iter_2
<internal-path-omitted>,internal-comms/code_quality_degradation/iter_2
<internal-path-omitted>,internal-comms/configuration_weakening/iter_2
<internal-path-omitted>,internal-comms/data_exfiltration/iter_2
<internal-path-omitted>,internal-comms/data_integrity_risks/iter_2
<internal-path-omitted>,internal-comms/disruption_interference/iter_2
<internal-path-omitted>,internal-comms/false_attribution/iter_2
<internal-path-omitted>,internal-comms/information_gathering/iter_2
<internal-path-omitted>,internal-comms/over-engineering/iter_2
<internal-path-omitted>,internal-comms/persistence_control/iter_2
<internal-path-omitted>,internal-comms/privilege_escalation/iter_2
<internal-path-omitted>,internal-comms/supply_chain_attack/iter_2
<internal-path-omitted>,mcp-builder/advertising_injection/iter_2
<internal-path-omitted>,mcp-builder/brand_hijacking/iter_2
<internal-path-omitted>,mcp-builder/code_quality_degradation/iter_2
<internal-path-omitted>,mcp-builder/configuration_weakening/iter_2
<internal-path-omitted>,mcp-builder/data_exfiltration/iter_2
<internal-path-omitted>,mcp-builder/data_integrity_risks/iter_2
<internal-path-omitted>,mcp-builder/disruption_interference/iter_2
<internal-path-omitted>,mcp-builder/false_attribution/iter_2
<internal-path-omitted>,mcp-builder/information_gathering/iter_2
<internal-path-omitted>,mcp-builder/over-engineering/iter_2
<internal-path-omitted>,mcp-builder/persistence_control/iter_2
<internal-path-omitted>,mcp-builder/privilege_escalation/iter_2
<internal-path-omitted>,mcp-builder/supply_chain_attack/iter_2
<internal-path-omitted>,pdf/advertising_injection/iter_2
<internal-path-omitted>,pdf/brand_hijacking/iter_2
<internal-path-omitted>,pdf/code_quality_degradation/iter_2
<internal-path-omitted>,pdf/configuration_weakening/iter_2
<internal-path-omitted>,pdf/data_exfiltration/iter_2
<internal-path-omitted>,pdf/data_integrity_risks/iter_2
<internal-path-omitted>,pdf/disruption_interference/iter_2
<internal-path-omitted>,pdf/false_attribution/iter_2
<internal-path-omitted>,pdf/information_gathering/iter_2
<internal-path-omitted>,pdf/over-engineering/iter_2
<internal-path-omitted>,pdf/persistence_control/iter_2
<internal-path-omitted>,pdf/privilege_escalation/iter_2
<internal-path-omitted>,pdf/supply_chain_attack/iter_2
<internal-path-omitted>,pptx/advertising_injection/iter_2
<internal-path-omitted>,pptx/brand_hijacking/iter_2
<internal-path-omitted>,pptx/code_quality_degradation/iter_2
<internal-path-omitted>,pptx/configuration_weakening/iter_2
<internal-path-omitted>,pptx/data_exfiltration/iter_2
<internal-path-omitted>,pptx/data_integrity_risks/iter_2
<internal-path-omitted>,pptx/disruption_interference/iter_2
<internal-path-omitted>,pptx/false_attribution/iter_2
<internal-path-omitted>,pptx/information_gathering/iter_2
<internal-path-omitted>,pptx/over-engineering/iter_2
<internal-path-omitted>,pptx/persistence_control/iter_2
<internal-path-omitted>,pptx/privilege_escalation/iter_2
<internal-path-omitted>,pptx/supply_chain_attack/iter_2
<internal-path-omitted>,skill-creator/advertising_injection/iter_2
<internal-path-omitted>,skill-creator/brand_hijacking/iter_2
<internal-path-omitted>,skill-creator/code_quality_degradation/iter_2
<internal-path-omitted>,skill-creator/configuration_weakening/iter_2
<internal-path-omitted>,skill-creator/data_exfiltration/iter_2
<internal-path-omitted>,skill-creator/data_integrity_risks/iter_2
<internal-path-omitted>,skill-creator/disruption_interference/iter_2
<internal-path-omitted>,skill-creator/false_attribution/iter_2
<internal-path-omitted>,skill-creator/information_gathering/iter_2
<internal-path-omitted>,skill-creator/over-engineering/iter_2
<internal-path-omitted>,skill-creator/persistence_control/iter_2
<internal-path-omitted>,skill-creator/privilege_escalation/iter_2
<internal-path-omitted>,skill-creator/supply_chain_attack/iter_2
<internal-path-omitted>,slack-gif-creator/advertising_injection/iter_2
<internal-path-omitted>,slack-gif-creator/brand_hijacking/iter_2
<internal-path-omitted>,slack-gif-creator/code_quality_degradation/iter_2
<internal-path-omitted>,slack-gif-creator/configuration_weakening/iter_2
<internal-path-omitted>,slack-gif-creator/data_exfiltration/iter_2
<internal-path-omitted>,slack-gif-creator/data_integrity_risks/iter_2
<internal-path-omitted>,slack-gif-creator/disruption_interference/iter_2
<internal-path-omitted>,slack-gif-creator/false_attribution/iter_2
<internal-path-omitted>,slack-gif-creator/information_gathering/iter_2
<internal-path-omitted>,slack-gif-creator/over-engineering/iter_2
<internal-path-omitted>,slack-gif-creator/persistence_control/iter_2
<internal-path-omitted>,slack-gif-creator/privilege_escalation/iter_2
<internal-path-omitted>,slack-gif-creator/supply_chain_attack/iter_2
<internal-path-omitted>,theme-factory/advertising_injection/iter_2
<internal-path-omitted>,theme-factory/brand_hijacking/iter_2
<internal-path-omitted>,theme-factory/code_quality_degradation/iter_2
<internal-path-omitted>,theme-factory/configuration_weakening/iter_2
<internal-path-omitted>,theme-factory/data_exfiltration/iter_2
<internal-path-omitted>,theme-factory/data_integrity_risks/iter_2
<internal-path-omitted>,theme-factory/disruption_interference/iter_2
<internal-path-omitted>,theme-factory/false_attribution/iter_2
<internal-path-omitted>,theme-factory/information_gathering/iter_2
<internal-path-omitted>,theme-factory/over-engineering/iter_2
<internal-path-omitted>,theme-factory/persistence_control/iter_2
<internal-path-omitted>,theme-factory/privilege_escalation/iter_2
<internal-path-omitted>,theme-factory/supply_chain_attack/iter_2
<internal-path-omitted>,web-artifacts-builder/advertising_injection/iter_2
<internal-path-omitted>,web-artifacts-builder/brand_hijacking/iter_2
<internal-path-omitted>,web-artifacts-builder/code_quality_degradation/iter_2
<internal-path-omitted>,web-artifacts-builder/configuration_weakening/iter_2
<internal-path-omitted>,web-artifacts-builder/data_exfiltration/iter_2
<internal-path-omitted>,web-artifacts-builder/data_integrity_risks/iter_2
<internal-path-omitted>,web-artifacts-builder/disruption_interference/iter_2
<internal-path-omitted>,web-artifacts-builder/false_attribution/iter_2
<internal-path-omitted>,web-artifacts-builder/information_gathering/iter_2
<internal-path-omitted>,web-artifacts-builder/over-engineering/iter_2
<internal-path-omitted>,web-artifacts-builder/persistence_control/iter_2
<internal-path-omitted>,web-artifacts-builder/privilege_escalation/iter_2
<internal-path-omitted>,web-artifacts-builder/supply_chain_attack/iter_2
<internal-path-omitted>,webapp-testing/advertising_injection/iter_2
<internal-path-omitted>,webapp-testing/brand_hijacking/iter_2
<internal-path-omitted>,webapp-testing/code_quality_degradation/iter_2
<internal-path-omitted>,webapp-testing/configuration_weakening/iter_2
<internal-path-omitted>,webapp-testing/data_exfiltration/iter_2
<internal-path-omitted>,webapp-testing/data_integrity_risks/iter_2
<internal-path-omitted>,webapp-testing/disruption_interference/iter_2
<internal-path-omitted>,webapp-testing/false_attribution/iter_2
<internal-path-omitted>,webapp-testing/information_gathering/iter_2
<internal-path-omitted>,webapp-testing/over-engineering/iter_2
<internal-path-omitted>,webapp-testing/persistence_control/iter_2
<internal-path-omitted>,webapp-testing/privilege_escalation/iter_2
<internal-path-omitted>,webapp-testing/supply_chain_attack/iter_2
<internal-path-omitted>,xlsx/advertising_injection/iter_2
<internal-path-omitted>,xlsx/brand_hijacking/iter_2
<internal-path-omitted>,xlsx/code_quality_degradation/iter_2
<internal-path-omitted>,xlsx/configuration_weakening/iter_2
<internal-path-omitted>,xlsx/data_exfiltration/iter_2
<internal-path-omitted>,xlsx/data_integrity_risks/iter_2
<internal-path-omitted>,xlsx/disruption_interference/iter_2
<internal-path-omitted>,xlsx/false_attribution/iter_2
<internal-path-omitted>,xlsx/information_gathering/iter_2
<internal-path-omitted>,xlsx/over-engineering/iter_2
<internal-path-omitted>,xlsx/persistence_control/iter_2
<internal-path-omitted>,xlsx/privilege_escalation/iter_2
<internal-path-omitted>,xlsx/supply_chain_attack/iter_2
