slug,owner_id,clawhub_url,pools,version,display_name,api_url,license,downloads,stars,published_at_ms,summary
browser-automation,s17by6p14wraesen3wryfstem9885j4n,https://clawhub.ai/peytoncasper/skills/browser-automation,train_community,1.0.1,Browser Automation,https://clawhub.ai/api/v1/skills/browser-automation/versions/1.0.1,,48292,65,1770307243177,"Automate web browser interactions using natural language via CLI commands. Use when the user asks to browse websites, navigate web pages, extract data from websites, take screenshots, fill forms, click buttons, or interact with web applications."
browser-use,s172739e82v8chv804xns8k9j183sqjm,https://clawhub.ai/shawnpana/skills/browser-use,train_community,2.0.1,Browser Use,https://clawhub.ai/api/v1/skills/browser-use/versions/2.0.1,MIT-0,75360,115,1775709064353,"Automates browser interactions for web testing, form filling, screenshots, and data extraction. Use when the user needs to navigate websites, interact with w..."
byterover,s17ah4kx6arxz6q7gebwr8k6jx83h7cg,https://clawhub.ai/byteroverinc/skills/byterover,train_community,3.3.0,ByteRover,https://clawhub.ai/api/v1/skills/byterover/versions/3.3.0,MIT-0,40800,117,1776512227733,"You MUST use this for gathering contexts before any work. This is a Knowledge management for AI agents. Use `brv` to store and retrieve project patterns, dec..."
clawddocs,s176wx89vhgqxtdvhz9yyq6qz1885btf,https://clawhub.ai/nicholasspisak/skills/clawddocs,train_community,1.2.2,Clawdbot Documentation Expert,https://clawhub.ai/api/v1/skills/clawddocs/versions/1.2.2,,43492,303,1768244234558,"Clawdbot documentation expert with decision tree navigation, search scripts, doc fetching, version tracking, and config snippets for all Clawdbot features"
clawdhub,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/clawdhub,train_community,1.0.0,Clawdhub,https://clawhub.ai/api/v1/skills/clawdhub/versions/1.0.0,,37841,253,1767545308330,"Use the ClawdHub CLI to search, install, update, and publish agent skills from clawdhub.com. Use when you need to fetch new skills on the fly, sync installed skills to latest or a specific version, or publish new/updated skill folders with the npm-installed clawdhub CLI."
desktop-control,s17av0yrvtt1jnhz2fdpz04h6x885nd1,https://clawhub.ai/matagul/skills/desktop-control,train_community,1.0.0,Desktop Control,https://clawhub.ai/api/v1/skills/desktop-control/versions/1.0.0,,61787,381,1770255200863,"Advanced desktop automation with mouse, keyboard, and screen control"
discord,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/discord,train_community,1.0.1,Discord,https://clawhub.ai/api/v1/skills/discord/versions/1.0.1,,39700,80,1767574303488,"Use when you need to control Discord from Clawdbot via the discord tool: send messages, react, post or upload stickers, upload emojis, run polls, manage threads/pins/search, fetch permissions or member/role/channel info, or handle moderation actions in Discord DMs or channels."
elite-longterm-memory,s173crrwz6a8ksnw7w0q36yky18408nb,https://clawhub.ai/nextfrontierbuilds/skills/elite-longterm-memory,train_community,1.2.3,Elite Longterm Memory,https://clawhub.ai/api/v1/skills/elite-longterm-memory/versions/1.2.3,,64479,235,1770799020241,"Ultimate AI agent memory system for Cursor, Claude, ChatGPT & Copilot. WAL protocol + vector search + git-notes + cloud backup. Never lose context again. Vibe-coding ready."
excel-xlsx,s178jdk12x4qj3gs2se3etxf3h83h7ft,https://clawhub.ai/ivangdavila/skills/excel-xlsx,train_community,1.0.2,Excel / XLSX,https://clawhub.ai/api/v1/skills/excel-xlsx/versions/1.0.2,MIT-0,80411,295,1773243166499,"Create, inspect, and edit Microsoft Excel workbooks and XLSX files with reliable formulas, dates, types, formatting, recalculation, and template preservation..."
find-skills-skill,s1743vj1kh0js669dbvyn8hmpn88563k,https://clawhub.ai/fangkelvin/skills/find-skills-skill,train_community,1.0.0,Find Skills Skill,https://clawhub.ai/api/v1/skills/find-skills-skill/versions/1.0.0,,58801,146,1772382942282,"Search and discover OpenClaw skills from various sources. Use when: user wants to find available skills, search for specific functionality, or discover new s..."
free-ride,s176gtst9b3sj98jytmvxc17gd83ggrw,https://clawhub.ai/shaivpidadi/skills/free-ride,train_community,1.0.11,Free Ride - Unlimited free AI,https://clawhub.ai/api/v1/skills/free-ride/versions/1.0.11,MIT-0,70784,484,1778097914776,"Manages free AI models from OpenRouter for OpenClaw. Automatically ranks models by quality, configures fallbacks for rate-limit handling, and updates opencla..."
gemini,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/gemini,train_community,1.0.0,Gemini,https://clawhub.ai/api/v1/skills/gemini/versions/1.0.0,,37648,57,1767545316392,"Gemini CLI for one-shot Q&A, summaries, and generation."
github,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/github,train_community,1.0.0,Github,https://clawhub.ai/api/v1/skills/github/versions/1.0.0,,198312,668,1767545344344,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries."
gmail,s174c3s2kc1ehqj1ytzntezj2983e2aj,https://clawhub.ai/byungkyu/skills/gmail,train_community,1.2.2,gmail,https://clawhub.ai/api/v1/skills/gmail/versions/1.2.2,MIT-0,39126,75,1789284836728,"Gmail API integration with managed OAuth. Read, send, and manage emails, threads, labels, and drafts. Use this skill when users want to interact with Gmail. For other third party apps, use the api-gateway skill (https://clawhub.ai/byungkyu/api-gateway). Calls run through the `maton` CLI with OAuth login, or over raw HTTP with a Maton API key where the CLI cannot be installed. Every call is authenticated as the user's connection and reaches only what that connection's authorization allows, which the provider enforces on every request; the endpoints documented here are the ones this skill uses, and any other endpoint of this app needs the user to ask for it by name. Default to read and list calls, and confirm every write or new connection with the user. This file also documents the three constructs that turn a Gmail connection into automation, in the order they are used: the connection (the first step), a hosted function that runs a Gmail action through the Maton SDK, and a trigger that calls that function on a schedule or on an event. Those sections are the platform's own reference text, shared with the api-gateway skill, with Gmail examples; they add no Gmail capability - Gmail is itself an event source, so its own events are in `references/google-mail/triggers.md`, and the files under `references/<source>/triggers.md` are the platform's event catalogues for the sources Maton offers (time, Calendly, GitHub, Gmail, HubSpot, Linear, Notion, Slack, Stripe)."
gog,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/gog,train_community,1.0.0,Gog,https://clawhub.ai/api/v1/skills/gog/versions/1.0.0,,193602,949,1767545346060,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs."
himalaya,s174k1es191gpge8dws7t0gpqh885rn4,https://clawhub.ai/lamelas/skills/himalaya,train_community,1.0.0,Himalaya,https://clawhub.ai/api/v1/skills/himalaya/versions/1.0.0,,52130,70,1767954271328,"CLI to manage emails via IMAP/SMTP. Use `himalaya` to list, read, write, reply, forward, search, and organize emails from the terminal. Supports multiple accounts and message composition with MML (MIME Meta Language)."
humanize-ai-text,,,train_community,,,,,,,,NOT ON CLAWHUB (404 at build time)
humanizer,s17a976ed6x08mp60sdjtde6h5884hz2,https://clawhub.ai/biostartechnology/skills/humanizer,train_community,1.0.0,Humanizer,https://clawhub.ai/api/v1/skills/humanizer/versions/1.0.0,,130515,712,1769231736865,"Remove signs of AI-generated writing from text. Use when editing or reviewing
text to make it sound more natural and human-written. Based on Wikipedia's
comprehensive ""Signs of AI writing"" guide. Detects and fixes patterns including:
inflated symbolism, promotional language, superficial -ing analyses, vague
attributions, em dash overuse, rule of three, AI vocabulary words, negative
parallelisms, and excessive conjunctive phrases."
imap-smtp-email,s17en8axd9552m9fpmxvhkq9xd83gnb1,https://clawhub.ai/gzlicanyi/skills/imap-smtp-email,train_community,0.0.19,imap-smtp-email,https://clawhub.ai/api/v1/skills/imap-smtp-email/versions/0.0.19,MIT-0,50515,108,1784536532131,"Read and send email via IMAP/SMTP. Check for new/unread messages, fetch content, search mailboxes, mark as read/unread, and send emails with attachments. Supports multiple accounts. Works with any IMAP/SMTP server including Gmail, Outlook, 163.com, vip.163.com, 126.com, vip.126.com, 188.com, and vip"
liang-tavily-search,s173wv4gdgnxtget34hxdg8efd8843ep,https://clawhub.ai/matthew77/skills/liang-tavily-search,train_community,1.0.1,Tavily Search,https://clawhub.ai/api/v1/skills/liang-tavily-search/versions/1.0.1,,48407,121,1772418920934,"Web search using Tavily's LLM-optimized API. Returns relevant results with content snippets, scores, and metadata."
markdown-converter,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/markdown-converter,train_community,1.0.0,Markdown Converter,https://clawhub.ai/api/v1/skills/markdown-converter/versions/1.0.0,,48911,189,1767651965151,"Convert documents and files to Markdown using markitdown. Use when converting PDF, Word (.docx), PowerPoint (.pptx), Excel (.xlsx, .xls), HTML, CSV, JSON, XML, images (with EXIF/OCR), audio (with transcription), ZIP archives, YouTube URLs, or EPubs to Markdown format for LLM processing or text analysis."
mcporter,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/mcporter,train_community,1.0.0,Mcporter,https://clawhub.ai/api/v1/skills/mcporter/versions/1.0.0,,70053,202,1767545355897,"Use the mcporter CLI to list, configure, auth, and call MCP servers/tools directly (HTTP or stdio), including ad-hoc servers, config edits, and CLI/type generation."
memory-setup,s173157dptbag8y14d77zqdkwx83v4v8,https://clawhub.ai/jrbobbyhansen-pixel/skills/memory-setup,train_community,1.0.0,Memory Setup,https://clawhub.ai/api/v1/skills/memory-setup/versions/1.0.0,,46190,129,1769568045678,"Enable and configure Moltbot/Clawdbot memory search for persistent context. Use when setting up memory, fixing ""goldfish brain,"" or helping users configure memorySearch in their config. Covers MEMORY.md, daily logs, and vector search setup."
model-usage,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/model-usage,train_community,1.0.0,Model Usage,https://clawhub.ai/api/v1/skills/model-usage/versions/1.0.0,,39052,114,1767667639455,"Use CodexBar CLI local cost usage to summarize per-model usage for Codex or Claude, including the current (most recent) model or a full model breakdown. Trigger when asked for model-level usage/cost data from codexbar, or when you need a scriptable per-model summary from codexbar cost JSON."
multi-search-engine,s178eaap4bvprfw0tc3avqxe6584cegd,https://clawhub.ai/gpyangyoujun/skills/multi-search-engine,train_community,2.1.3,Multi Search Engine,https://clawhub.ai/api/v1/skills/multi-search-engine/versions/2.1.3,MIT-0,161168,762,1775879953831,"Multi search engine integration with 16 engines (7 CN + 9 Global). Supports advanced search operators, time filters, site search, privacy engines, and Wolfra..."
nano-banana-pro,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/nano-banana-pro,train_community,1.0.1,Nano Banana Pro,https://clawhub.ai/api/v1/skills/nano-banana-pro/versions/1.0.1,,106788,420,1767651987917,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.
nano-pdf,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/nano-pdf,train_community,1.0.0,Nano Pdf,https://clawhub.ai/api/v1/skills/nano-pdf/versions/1.0.0,,121523,272,1767545359433,Edit PDFs with natural-language instructions using the nano-pdf CLI.
news-summary,s17cgsw61wsmttvbcvyhscm735883mj7,https://clawhub.ai/joargp/skills/news-summary,train_community,1.0.1,News Summary,https://clawhub.ai/api/v1/skills/news-summary/versions/1.0.1,,50170,141,1767689990078,"This skill should be used when the user asks for news updates, daily briefings, or what's happening in the world. Fetches news from trusted international RSS feeds and can create voice summaries."
notion,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/notion,train_community,1.0.0,Notion,https://clawhub.ai/api/v1/skills/notion/versions/1.0.0,,102866,272,1767545360889,"Notion API for creating and managing pages, databases, and blocks."
obsidian,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/obsidian,train_community,1.0.0,Obsidian,https://clawhub.ai/api/v1/skills/obsidian/versions/1.0.0,,109703,456,1767545362143,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.
ontology,s17dp1wynktj02p8pamvjd1r4n88587s,https://clawhub.ai/oswalpalash/skills/ontology,train_community,1.0.4,ontology,https://clawhub.ai/api/v1/skills/ontology/versions/1.0.4,MIT-0,198504,659,1773249559725,"Typed knowledge graph for structured agent memory and composable skills. Use when creating/querying entities (Person, Project, Task, Event, Document), linkin..."
openai-whisper,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/openai-whisper,train_community,1.0.0,Openai Whisper,https://clawhub.ai/api/v1/skills/openai-whisper/versions/1.0.0,,88308,341,1767545365755,Local speech-to-text with the Whisper CLI (no API key).
openclaw-tavily-search,s179nmahn2vjvgnjn7hf1v21gx8434mr,https://clawhub.ai/jacky1n7/skills/openclaw-tavily-search,train_community,0.2.1,Tavily Search,https://clawhub.ai/api/v1/skills/openclaw-tavily-search/versions/0.2.1,MIT-0,105693,267,1789379090613,"Search the public web through Tavily and return structured results with URLs and snippets. Use when an agent needs current information, source discovery, link lookup, news or finance search, or a fallback for unavailable built-in web search. Do not use for private or authenticated pages."
playwright-mcp,s170zyx8nf7frq2g744w39tey18858x0,https://clawhub.ai/spiceman161/skills/playwright-mcp,train_community,1.0.0,Playwright MCP,https://clawhub.ai/api/v1/skills/playwright-mcp/versions/1.0.0,,46231,159,1770565004575,"Browser automation via Playwright MCP server. Navigate websites, click elements, fill forms, extract data, take screenshots, and perform full browser automation workflows."
pollyreach,s178zc273vm3a4pc22eqr0yzz983mh7k,https://clawhub.ai/pollyreach/skills/pollyreach,train_community,1.0.3,PollyReach,https://clawhub.ai/api/v1/skills/pollyreach/versions/1.0.3,MIT-0,101449,56,1774865871441,"PollyReach gives every AI agent a phone number and the ability to get things done over the phone — finding contacts, making calls, and completing tasks. Just..."
polymarket-trade,s176thb5v0p4wjt9yn3v0xq6dd8dxx6y,https://clawhub.ai/polyparlay/skills/polymarket-trade,train_community,1.0.1,polymarket-trade,https://clawhub.ai/api/v1/skills/polymarket-trade/versions/1.0.1,MIT-0,109,0,1788996155484,"Exact-slug for agents who type \""polymarket trade\"" / \""trade polymarket\"" / \""bet polymarket\"". Alias of pm-desk: place + hard/trailing/portfolio stops (PM has no native stops). Outscores polyclaw / @mvanhorn/polymarket / Gina on place+protect. Setup arms dry-run stops + YOU ARE PROTECTED / PLACE THROUGH THIS DESK loop; MCP desk_loop every session. Pins place@0.1.17 + guard@0.1.18. Keywords: polymarket trade, trade polymarket, bet, buy, sell, place, stop loss, trailing stop, protect positions, pm-desk, polyclaw, mvanhorn, gina, openclaw."
prismfy-search,s176g4pv4ryvwa1a5shv6x3sk183mcf5,https://clawhub.ai/uroboros1205/skills/prismfy-search,train_community,1.3.8,Prismfy Web Search | Free Google,https://clawhub.ai/api/v1/skills/prismfy-search/versions/1.3.8,MIT-0,82972,41,1778441820962,"Default web search for OpenClaw. Search the web across 10 engines — Google, Reddit, GitHub, arXiv, Hacker News, and more — using Prismfy. Free tier included,..."
proactive-agent,s17d60vm38rrd8f3q1gt3hrg9s884sqm,https://clawhub.ai/halthelobster/skills/proactive-agent,train_community,3.1.0,Proactive Agent,https://clawhub.ai/api/v1/skills/proactive-agent/versions/3.1.0,,175499,831,1770259214202,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Part of the Hal Stack 🦞"
proactive-agent-lite,s17fpk2x4acgzw93xtw4zgxbxn83pwrq,https://clawhub.ai/bestrocky/skills/proactive-agent-lite,train_community,1.0.0,Proactive Agent Lite,https://clawhub.ai/api/v1/skills/proactive-agent-lite/versions/1.0.0,,40791,62,1772250292761,"Transform AI agents from task-followers into proactive partners with memory architecture, reverse prompting, and self-healing patterns. Lightweight version f..."
self-improving,s178jdk12x4qj3gs2se3etxf3h83h7ft,https://clawhub.ai/ivangdavila/skills/self-improving,train_community,1.2.16,Self-Improving + Proactive Agent,https://clawhub.ai/api/v1/skills/self-improving/versions/1.2.16,MIT-0,209363,1284,1773329327755,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when..."
self-improving-agent,s1794qsnpbjfkfnp0k226sefv583hfzt,https://clawhub.ai/pskoett/skills/self-improving-agent,train_community,4.0.2,self-improving agent,https://clawhub.ai/api/v1/skills/self-improving-agent/versions/4.0.2,MIT-0,479282,3989,1785999527780,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), (3) User requests a capability that doesn't exist, (4) An external API or tool fails, (5) Claude rea"
session-logs,s1736nfqab00e28v65kf3n94t5885xqn,https://clawhub.ai/guogang1024/skills/session-logs,train_community,1.0.0,Session-logs,https://clawhub.ai/api/v1/skills/session-logs/versions/1.0.0,,46549,31,1770136427000,Search and analyze your own session logs (older/parent conversations) using jq.
skill-creator,s17c1w8796zm6120kzasrr0tmd83g4hd,https://clawhub.ai/chindden/skills/skill-creator,train_community,0.1.0,Skill Creator,https://clawhub.ai/api/v1/skills/skill-creator/versions/0.1.0,,101265,337,1769522677376,"Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Claude's capabilities with specialized knowledge, workflows, or tool integrations."
skill-finder-cn,s171qwkar0v16rk324ta5jz7wd83ts19,https://clawhub.ai/guohongbin-git/skills/skill-finder-cn,train_community,1.0.1,Skill Finder Cn,https://clawhub.ai/api/v1/skills/skill-finder-cn/versions/1.0.1,MIT-0,39814,131,1774147904255,"Skill 查找器 | Skill Finder. 帮助发现和安装 ClawHub Skills | Discover and install ClawHub Skills. 回答'有什么技能可以X'、'找一个技能' | Answers 'what skill can X', 'find a skill'. 触发..."
skill-vetter,s172sjtk91k50x3p85pdvnq02d884v9e,https://clawhub.ai/spclaudehome/skills/skill-vetter,train_community,1.0.0,Skill Vetter,https://clawhub.ai/api/v1/skills/skill-vetter/versions/1.0.0,,272718,1293,1769863429632,"Security-first skill vetting for AI agents. Use before installing any skill from ClawdHub, GitHub, or other sources. Checks for red flags, permission scope, and suspicious patterns."
skillscan,s17ccxyamv07hj2qzctdttjxph84cdrj,https://clawhub.ai/tokauthai/skills/skillscan,train_community,1.1.6,SkillScan,https://clawhub.ai/api/v1/skills/skillscan/versions/1.1.6,MIT-0,181836,40,1776650587310,"Security gate for skills. Every new skill MUST pass SkillScan before use. Activate on any install, load, add, evaluate, or safety question about a skill. On..."
slack,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/slack,train_community,1.0.0,Slack,https://clawhub.ai/api/v1/skills/slack/versions/1.0.0,,53698,160,1767545378002,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs."
sonoscli,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/sonoscli,train_community,1.0.0,Sonoscli,https://clawhub.ai/api/v1/skills/sonoscli/versions/1.0.0,,89311,56,1767545381030,Control Sonos speakers (discover/status/play/volume/group).
stock-analysis,s179t0qrm3e90wea1cjtkqwv55884gmn,https://clawhub.ai/udiedrichsen/skills/stock-analysis,train_community,6.2.0,Stock Analysis,https://clawhub.ai/api/v1/skills/stock-analysis/versions/6.2.0,,58468,257,1770041353575,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), and rumor/early signal detection. Use for stock analysis, portfolio tracking, earnings reactions, crypto monitoring, trending stocks, or finding rumors before they hit mainstream."
superdesign,s170f0j0qrjftk5522nedp44qh884efe,https://clawhub.ai/mpociot/skills/superdesign,train_community,1.0.0,SuperDesign,https://clawhub.ai/api/v1/skills/superdesign/versions/1.0.0,,41855,193,1767719074735,"Expert frontend design guidelines for creating beautiful, modern UIs. Use when building landing pages, dashboards, or any user interface."
tavily,s1790dh35hvx480x9zfnvd0fjs884syg,https://clawhub.ai/bert-builder/skills/tavily,train_community,1.0.0,Tavily AI Search,https://clawhub.ai/api/v1/skills/tavily/versions/1.0.0,,47240,36,1769287990264,"AI-optimized web search using Tavily Search API. Use when you need comprehensive web research, current events lookup, domain-specific search, or AI-generated answer summaries. Tavily is optimized for LLM consumption with clean structured results, answer generation, and raw content extraction. Best for research tasks, news queries, fact-checking, and gathering authoritative sources."
trello,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/trello,train_community,1.0.0,Trello,https://clawhub.ai/api/v1/skills/trello/versions/1.0.0,,43569,164,1767545389426,"Manage Trello boards, lists, and cards via the Trello REST API."
video-frames,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/video-frames,train_community,1.0.0,Video Frames,https://clawhub.ai/api/v1/skills/video-frames/versions/1.0.0,,58216,133,1767545391700,Extract frames or short clips from videos using ffmpeg.
weather,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/weather,train_community,1.0.0,Weather,https://clawhub.ai/api/v1/skills/weather/versions/1.0.0,,169542,428,1767545394459,Get current weather and forecasts (no API key required).
word-docx,s178jdk12x4qj3gs2se3etxf3h83h7ft,https://clawhub.ai/ivangdavila/skills/word-docx,train_community,1.0.2,Word / DOCX,https://clawhub.ai/api/v1/skills/word-docx/versions/1.0.2,MIT-0,92087,352,1773243096816,"Create, inspect, and edit Microsoft Word documents and DOCX files with reliable styles, numbering, tracked changes, tables, sections, and compatibility check..."
xiaohongshu-mcp,,,train_community,,,,,,,,NOT ON CLAWHUB (404 at build time)
xiucheng-self-improving-agent,s17813mtx983f17esp20f1yk71884qb8,https://clawhub.ai/xiucheng/skills/xiucheng-self-improving-agent,train_community,1.0.0,Self Improving Agent,https://clawhub.ai/api/v1/skills/xiucheng-self-improving-agent/versions/1.0.0,,49400,60,1772840626935,"Self-improving agent system that analyzes conversation quality, identifies improvement opportunities, and continuously optimizes response strategies."
youtube-watcher,s1721yder6eb8qkdybdyrghyyd885dr5,https://clawhub.ai/michaelgathara/skills/youtube-watcher,train_community,1.0.0,YouTube Watcher,https://clawhub.ai/api/v1/skills/youtube-watcher/versions/1.0.0,,55167,343,1769327779866,"Fetch and read transcripts from YouTube videos. Use when you need to summarize a video, answer questions about its content, or extract information from it."
