slug,owner_id,clawhub_url,pools,version,display_name,api_url,license,downloads,stars,published_at_ms,summary
auto-body-collision-kit,kn728xb4t1gfe263w8yjq4wfwn86ks1k,https://clawhub.ai/skills/auto-body-collision-kit,clean_175;clean_pool,1.0.1,,https://clawhub.ai/api/v1/skills/auto-body-collision-kit/versions/1.0.1,,,,1779840368137,
bank-policy-query,kn73wqc78mc614p1bta710y41s82ejtq,https://clawhub.ai/skills/bank-policy-query,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/bank-policy-query/versions/1.0.0,,,,1779699480721,
barbershop-marketing-kit,kn728xb4t1gfe263w8yjq4wfwn86ks1k,https://clawhub.ai/skills/barbershop-marketing-kit,clean_175;clean_pool,1.0.1,,https://clawhub.ai/api/v1/skills/barbershop-marketing-kit/versions/1.0.1,,,,1779826014999,
before-you-build,kn78tm4qvj9y7datkhmfyhvttd87e7mm,https://clawhub.ai/skills/before-you-build,clean_175;clean_pool,0.1.1,,https://clawhub.ai/api/v1/skills/before-you-build/versions/0.1.1,,,,1779807401027,
bilingual-md-sync,kn7ckckjdekq92w3hgy1071k0h84wdbg,https://clawhub.ai/skills/bilingual-md-sync,clean_175;clean_pool,1.1.0,,https://clawhub.ai/api/v1/skills/bilingual-md-sync/versions/1.1.0,,,,1779685904608,
biohazard-crime-scene-cleanup-kit,kn728xb4t1gfe263w8yjq4wfwn86ks1k,https://clawhub.ai/skills/biohazard-crime-scene-cleanup-kit,clean_175;clean_pool,1.0.1,,https://clawhub.ai/api/v1/skills/biohazard-crime-scene-cleanup-kit/versions/1.0.1,,,,1779710770967,
blueai-nano-banana,kn7adb1sb9m0scbfdht8mhtax1839jvg,https://clawhub.ai/skills/blueai-nano-banana,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/blueai-nano-banana/versions/0.1.0,,,,1779698697234,
bluefocus-model-routing,kn7adb1sb9m0scbfdht8mhtax1839jvg,https://clawhub.ai/skills/bluefocus-model-routing,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/bluefocus-model-routing/versions/0.1.0,,,,1779700415538,
burmese-content-skills,kn7d09g9vehchas8hq58t4a3e182e889,https://clawhub.ai/skills/burmese-content-skills,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/burmese-content-skills/versions/1.0.0,,,,1779740160681,
cas-china-mastery,kn7161c1ta3qh1fq8vxry4f3tn84m13s,https://clawhub.ai/skills/cas-china-mastery,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/cas-china-mastery/versions/1.0.0,,,,1779682088401,
china-api-doc-generator,kn7a6kxswmnbamxxthy2pgjrkn86vpfy,https://clawhub.ai/skills/china-api-doc-generator,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/china-api-doc-generator/versions/1.0.0,,,,1779806560762,
china-notification-service,kn7a6kxswmnbamxxthy2pgjrkn86vpfy,https://clawhub.ai/skills/china-notification-service,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/china-notification-service/versions/1.0.0,,,,1779806609182,
china-seo-baidu,kn7a6kxswmnbamxxthy2pgjrkn86vpfy,https://clawhub.ai/skills/china-seo-baidu,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/china-seo-baidu/versions/1.0.0,,,,1779806623172,
china-social-media-ops,kn7a6kxswmnbamxxthy2pgjrkn86vpfy,https://clawhub.ai/skills/china-social-media-ops,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/china-social-media-ops/versions/1.0.0,,,,1779806584937,
claw-planops,kn718v9539jmv017kavqz6j56x87dc1s,https://clawhub.ai/skills/claw-planops,clean_175;clean_pool,0.0.1,,https://clawhub.ai/api/v1/skills/claw-planops/versions/0.0.1,,,,1779725025681,
clipboard-stash-demo,kn72jmd20ws94jr0p8b3p24wyn82abgj,https://clawhub.ai/skills/clipboard-stash-demo,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/clipboard-stash-demo/versions/0.1.0,,,,1779828618495,
cocktail-craft,kn72gywaeyqtndj8tb50p1mq0n87hxx3,https://clawhub.ai/skills/cocktail-craft,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/cocktail-craft/versions/1.0.0,,,,1779844501605,
codebase-auditor,kn72cjra3qhjwmr4xp1tjsdews83d0se,https://clawhub.ai/skills/codebase-auditor,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/codebase-auditor/versions/1.0.0,,,,1779840810283,
context-crumb,kn73ws9z5jjkvgy9t1eyj8zj5s87d1jk,https://clawhub.ai/skills/context-crumb,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/context-crumb/versions/1.0.0,,,,1779744651293,
count-go-black-stones,kn71n8dv2mq173pr5mdkk9x0k184w6x3,https://clawhub.ai/skills/count-go-black-stones,clean_175;clean_pool,0.1.3,,https://clawhub.ai/api/v1/skills/count-go-black-stones/versions/0.1.3,,,,1779808265840,
daily-news-cn,kn73z7zhz92tv6skpnmpy5pdfh86j68x,https://clawhub.ai/skills/daily-news-cn,clean_175;clean_pool,2.1.0,,https://clawhub.ai/api/v1/skills/daily-news-cn/versions/2.1.0,,,,1779847476129,
dcc-mcp-creator,kn79keq1bp4t91s48e3x1fk3jn82w8hf,https://clawhub.ai/skills/dcc-mcp-creator,clean_175;clean_pool,0.17.36,,https://clawhub.ai/api/v1/skills/dcc-mcp-creator/versions/0.17.36,,,,1779800100714,
dcc-mcp-skills-creator,kn79keq1bp4t91s48e3x1fk3jn82w8hf,https://clawhub.ai/skills/dcc-mcp-skills-creator,clean_175;clean_pool,0.17.36,,https://clawhub.ai/api/v1/skills/dcc-mcp-skills-creator/versions/0.17.36,,,,1779800093083,
deepsop-tiktokflow,kn75ch35k7rqwnkeka6er6mngx84v6tk,https://clawhub.ai/skills/deepsop-tiktokflow,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/deepsop-tiktokflow/versions/1.0.0,,,,1779845480056,
doc-format-fixer,kn7ez4h284sw1q2f7zvmge91wx83jdbt,https://clawhub.ai/skills/doc-format-fixer,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/doc-format-fixer/versions/1.0.0,,,,1779693428389,
dqf-driver-qualification-file-audit,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/dqf-driver-qualification-file-audit,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/dqf-driver-qualification-file-audit/versions/0.1.0,,,,1779842931398,
earnings-countdown,kn71g9mq11zs12gef9tdn2h77182b5bn,https://clawhub.ai/skills/earnings-countdown,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/earnings-countdown/versions/1.0.0,,,,1779842343394,
ecommerce-revenue-pack,kn70zkq99ggfcs6nvaea0ayk5586eg64,https://clawhub.ai/skills/ecommerce-revenue-pack,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/ecommerce-revenue-pack/versions/1.0.0,,,,1779731465023,
economic-damages-calculation-memo,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/economic-damages-calculation-memo,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/economic-damages-calculation-memo/versions/0.1.0,,,,1779763071423,
edu-homework-grader,kn7ae6m5fzwqs7fmdmh97gr1yh82m2py,https://clawhub.ai/skills/edu-homework-grader,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/edu-homework-grader/versions/1.0.0,,,,1779817208801,
element-lawsuit-generator,kn76ktxsg9g9tyj0d553rn3ens87enxv,https://clawhub.ai/skills/element-lawsuit-generator,clean_175;clean_pool,1.5.2,,https://clawhub.ai/api/v1/skills/element-lawsuit-generator/versions/1.5.2,,,,1779846976512,
engineering-drawing-parser,kn7ae6m5fzwqs7fmdmh97gr1yh82m2py,https://clawhub.ai/skills/engineering-drawing-parser,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/engineering-drawing-parser/versions/1.0.0,,,,1779817343327,
english-assessment,kn76af6ccjftr7hsds21j60xnn82q1qd,https://clawhub.ai/skills/english-assessment,clean_175;clean_pool,2.1.0,,https://clawhub.ai/api/v1/skills/english-assessment/versions/2.1.0,,,,1779715970279,
estate-plan-design-memo,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/estate-plan-design-memo,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/estate-plan-design-memo/versions/0.1.0,,,,1779693625008,
excel-table-structurer,kn73wqc78mc614p1bta710y41s82ejtq,https://clawhub.ai/skills/excel-table-structurer,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/excel-table-structurer/versions/1.0.0,,,,1779766602179,
exclude-prompt-data,kn71kvdba3t2jfkk6nbgnytg0s81617g,https://clawhub.ai/skills/exclude-prompt-data,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/exclude-prompt-data/versions/1.0.0,,,,1779826246954,
expert-insist,kn71seyphr76mfjs902d4drx9x87ffbd,https://clawhub.ai/skills/expert-insist,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/expert-insist/versions/1.0.0,,,,1779821672639,
fda-510k-substantial-equivalence-memo,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/fda-510k-substantial-equivalence-memo,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/fda-510k-substantial-equivalence-memo/versions/0.1.0,,,,1779842980759,
figma-pencil-fsd-tailwind4,kn78gn8re7srbmpjckc38hprqx822avd,https://clawhub.ai/skills/figma-pencil-fsd-tailwind4,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/figma-pencil-fsd-tailwind4/versions/0.1.0,,,,1779742640034,
finance-compliance-audit,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-compliance-audit,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-compliance-audit/versions/3.0.1,,,,1779680494637,
finance-content-factory,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-content-factory,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-content-factory/versions/3.0.1,,,,1779686662195,
finance-customer-service-hub,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-customer-service-hub,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-customer-service-hub/versions/3.0.1,,,,1779680505468,
finance-data-analysis,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-data-analysis,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-data-analysis/versions/3.0.1,,,,1779686623898,
finance-digital-avatar,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-digital-avatar,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-digital-avatar/versions/3.0.1,,,,1779690483381,
finance-knowledge-base,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-knowledge-base,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-knowledge-base/versions/3.0.1,,,,1779686637572,
finance-office-automation,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-office-automation,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-office-automation/versions/3.0.1,,,,1779686674518,
finance-training-coach,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/finance-training-coach,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/finance-training-coach/versions/3.0.1,,,,1779686650228,
financial-report-analyzer-pro,kn7ae6m5fzwqs7fmdmh97gr1yh82m2py,https://clawhub.ai/skills/financial-report-analyzer-pro,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/financial-report-analyzer-pro/versions/1.0.0,,,,1779817413790,
freedom-preserving-protocol,kn7ac63vgk0y43dgmb4tkvj9ds87f24j,https://clawhub.ai/skills/freedom-preserving-protocol,clean_175;clean_pool,1.2.0,,https://clawhub.ai/api/v1/skills/freedom-preserving-protocol/versions/1.2.0,,,,1779842368782,
fusejs,kn75qrtb885pznwsjwsh18dvf1813bv0,https://clawhub.ai/skills/fusejs,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/fusejs/versions/1.0.0,,,,1779759887203,
game-account-price-trends,kn78k1xrmq8h6smeyjmt99bsr986611p,https://clawhub.ai/skills/game-account-price-trends,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/game-account-price-trends/versions/1.0.0,,,,1779789451063,
game-balance-notes-skill,kn718mz8swgncz5z8ew773afvd834rm7,https://clawhub.ai/skills/game-balance-notes-skill,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/game-balance-notes-skill/versions/0.1.0,,,,1779696265130,
ghs-safety-data-sheet-drafter,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/ghs-safety-data-sheet-drafter,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/ghs-safety-data-sheet-drafter/versions/0.1.0,,,,1779693654084,
google-trending,kn71023xnbt4mfrjvkaa0z2ycd8762ba,https://clawhub.ai/skills/google-trending,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/google-trending/versions/1.0.0,,,,1779821021245,
gstack-openclaw-diagnose,kn73mcm9kp26gqb20a5bga9za987fvfn,https://clawhub.ai/skills/gstack-openclaw-diagnose,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/gstack-openclaw-diagnose/versions/1.0.0,,,,1779789215835,
gstack-openclaw-handoff,kn73mcm9kp26gqb20a5bga9za987fvfn,https://clawhub.ai/skills/gstack-openclaw-handoff,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/gstack-openclaw-handoff/versions/1.0.0,,,,1779789223510,
gstack-openclaw-prototype,kn73mcm9kp26gqb20a5bga9za987fvfn,https://clawhub.ai/skills/gstack-openclaw-prototype,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/gstack-openclaw-prototype/versions/1.0.0,,,,1779789233189,
hello-greeter,kn72jmd20ws94jr0p8b3p24wyn82abgj,https://clawhub.ai/skills/hello-greeter,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/hello-greeter/versions/1.0.0,,,,1779819092532,
homarr,kn71braj4mtw6xbr2sbydm0p6s866qsx,https://clawhub.ai/skills/homarr,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/homarr/versions/1.0.0,,,,1779699318822,
homes-mcp,kn700jq4sjtf2anb0rk3ft4p7n856872,https://clawhub.ai/skills/homes-mcp,clean_175;clean_pool,0.8.0,,https://clawhub.ai/api/v1/skills/homes-mcp/versions/0.8.0,,,,1779847343825,
huaweicloud-python-sdk-helper,kn73wackr7dq8896qpdm1n26sn83phjs,https://clawhub.ai/skills/huaweicloud-python-sdk-helper,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/huaweicloud-python-sdk-helper/versions/1.0.0,,,,1779802402110,
immigration-petition-cover-letter,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/immigration-petition-cover-letter,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/immigration-petition-cover-letter/versions/0.1.0,,,,1779693601790,
insurance-intelligent-cs,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/insurance-intelligent-cs,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/insurance-intelligent-cs/versions/3.0.1,,,,1779679838597,
insurance-knowledge-qa,kn74e704j3ygjcygnpf02rdvd185js13,https://clawhub.ai/skills/insurance-knowledge-qa,clean_175;clean_pool,3.0.1,,https://clawhub.ai/api/v1/skills/insurance-knowledge-qa/versions/3.0.1,,,,1779679848791,
internet-radio-music-db,kn775k2zzav7y8rpwwm218x0b587f0hj,https://clawhub.ai/skills/internet-radio-music-db,clean_175;clean_pool,2.1.0,,https://clawhub.ai/api/v1/skills/internet-radio-music-db/versions/2.1.0,,,,1779845698088,
internet-search-pro,kn7axg9zt4yaby5xnzh3ck6ep986cjbc,https://clawhub.ai/skills/internet-search-pro,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/internet-search-pro/versions/1.0.0,,,,1779692176612,
investment-assistant-agent,kn76b71hdvjbaetmpr601b967x82bz18,https://clawhub.ai/skills/investment-assistant-agent,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/investment-assistant-agent/versions/1.0.0,,,,1779789447710,
ios-moblink-integration,kn74wfhpmhkqcpz21tdd0cxqx185cpvq,https://clawhub.ai/skills/ios-moblink-integration,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/ios-moblink-integration/versions/1.0.0,,,,1779701442272,
ithrael-daily-digest,kn75dkvp8vqhwb5x4xsfvkdr6x816xrk,https://clawhub.ai/skills/ithrael-daily-digest,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/ithrael-daily-digest/versions/1.0.0,,,,1779710519894,
jianyaofangan01,kn7epfey8ajfhfkskbtyhxp3z987fxyg,https://clawhub.ai/skills/jianyaofangan01,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/jianyaofangan01/versions/1.0.0,,,,1779762677741,
job-hazard-analysis,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/job-hazard-analysis,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/job-hazard-analysis/versions/0.1.0,,,,1779693607943,
kaifaskillfz01,kn7epfey8ajfhfkskbtyhxp3z987fxyg,https://clawhub.ai/skills/kaifaskillfz01,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/kaifaskillfz01/versions/1.0.0,,,,1779762676660,
karakeep-mcp-first,kn79084zcn05x0tgjnc899740d87dmqe,https://clawhub.ai/skills/karakeep-mcp-first,clean_175;clean_pool,1.1.0,,https://clawhub.ai/api/v1/skills/karakeep-mcp-first/versions/1.1.0,,,,1779689273039,
kl8-data,kn71pk44ca87scz3pstt90r66n80xhaa,https://clawhub.ai/skills/kl8-data,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/kl8-data/versions/1.0.0,,,,1779801220222,
lingshu-agent-architect,kn76b71hdvjbaetmpr601b967x82bz18,https://clawhub.ai/skills/lingshu-agent-architect,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/lingshu-agent-architect/versions/1.0.0,,,,1779789442783,
local-business-pack,kn70zkq99ggfcs6nvaea0ayk5586eg64,https://clawhub.ai/skills/local-business-pack,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/local-business-pack/versions/1.0.0,,,,1779731453661,
localization-readiness-audit,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/localization-readiness-audit,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/localization-readiness-audit/versions/0.1.0,,,,1779693638454,
loss-reserving-triangle-memo,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/loss-reserving-triangle-memo,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/loss-reserving-triangle-memo/versions/0.1.0,,,,1779763064151,
manual-j-residential-load-calc,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/manual-j-residential-load-calc,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/manual-j-residential-load-calc/versions/0.1.0,,,,1779842937139,
marketing-theory-panorama,kn7979vgpkbdcz1zab69smvn35834kct,https://clawhub.ai/skills/marketing-theory-panorama,clean_175;clean_pool,1.0.2,,https://clawhub.ai/api/v1/skills/marketing-theory-panorama/versions/1.0.2,,,,1779691640433,
maus-html-summary,kn732v911xvfdexda2xd8t6r9s81aqje,https://clawhub.ai/skills/maus-html-summary,clean_175;clean_pool,1.0.1,,https://clawhub.ai/api/v1/skills/maus-html-summary/versions/1.0.1,,,,1779818790739,
md2pdf-cjk,kn732d75a9t2htw2sjvh004hw982c32x,https://clawhub.ai/skills/md2pdf-cjk,clean_175;clean_pool,1.0.1,,https://clawhub.ai/api/v1/skills/md2pdf-cjk/versions/1.0.1,,,,1779684431090,
mediation-brief-drafter,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/mediation-brief-drafter,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/mediation-brief-drafter/versions/0.1.0,,,,1779763047338,
medical-record-structuring,kn7ae6m5fzwqs7fmdmh97gr1yh82m2py,https://clawhub.ai/skills/medical-record-structuring,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/medical-record-structuring/versions/1.0.0,,,,1779817472632,
mensa,kn73eajyvhn6ytetszzqxycmex87fefx,https://clawhub.ai/skills/mensa,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/mensa/versions/1.0.0,,,,1779824036533,
mobile-ui-checklist-skill,kn718mz8swgncz5z8ew773afvd834rm7,https://clawhub.ai/skills/mobile-ui-checklist-skill,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/mobile-ui-checklist-skill/versions/0.1.0,,,,1779694602639,
model-center,kn71pk44ca87scz3pstt90r66n80xhaa,https://clawhub.ai/skills/model-center,clean_175;clean_pool,1.0.1,,https://clawhub.ai/api/v1/skills/model-center/versions/1.0.1,,,,1779799959483,
monthly-report-analysis,kn73wqc78mc614p1bta710y41s82ejtq,https://clawhub.ai/skills/monthly-report-analysis,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/monthly-report-analysis/versions/1.0.0,,,,1779693219597,
msx,kn7cgnrcb8zmnt4cpmm87sygb580wevq,https://clawhub.ai/skills/msx,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/msx/versions/1.0.0,,,,1779721937165,
my-analyzer,kn7canvm8ta3eq3pv381njqcsd87et5r,https://clawhub.ai/skills/my-analyzer,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/my-analyzer/versions/1.0.0,,,,1779791152026,
newsletter-creator-pack,kn70zkq99ggfcs6nvaea0ayk5586eg64,https://clawhub.ai/skills/newsletter-creator-pack,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/newsletter-creator-pack/versions/1.0.0,,,,1779731465369,
nim-signal-scan,kn71chb38hhtjftn9amnkwzrz9862vve,https://clawhub.ai/skills/nim-signal-scan,clean_175;clean_pool,1.2.1,,https://clawhub.ai/api/v1/skills/nim-signal-scan/versions/1.2.1,,,,1779716197421,
novel-writing-techniques,kn75qrtb885pznwsjwsh18dvf1813bv0,https://clawhub.ai/skills/novel-writing-techniques,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/novel-writing-techniques/versions/1.0.0,,,,1779761132676,
